OX371314.1	chr1A
CAMZJZ010000068.1	contig_853
CAMZJZ010000069.1	contig_942
CAMZJZ010000070.1	contig_217
CAMZJZ010000071.1	contig_309
CAMZJZ010000072.1	contig_325
CAMZJZ010000073.1	contig_453
CAMZJZ010000074.1	contig_992
CAMZJZ010000075.1	contig_846
CAMZJZ010000076.1	contig_873
CAMZJZ010000077.1	contig_772
CAMZJZ010000078.1	contig_301
CAMZJZ010000079.1	contig_305
CAMZJZ010000080.1	contig_352
CAMZJZ010000081.1	contig_1281
CAMZJZ010000082.1	contig_1199
CAMZJZ010000083.1	contig_783
CAMZJZ010000084.1	contig_320
CAMZJZ010000085.1	contig_1947
CAMZJZ010000086.1	contig_483
CAMZJZ010000087.1	contig_373
CAMZJZ010000088.1	contig_541
CAMZJZ010000089.1	contig_353
CAMZJZ010000090.1	contig_527
CAMZJZ010000091.1	contig_381
CAMZJZ010000092.1	contig_1294
CAMZJZ010000093.1	contig_643
CAMZJZ010000094.1	contig_316
CAMZJZ010000095.1	contig_430
CAMZJZ010000096.1	contig_248
CAMZJZ010000097.1	contig_506
CAMZJZ010000098.1	contig_1465
CAMZJZ010000099.1	contig_1473
CAMZJZ010000100.1	contig_1652
CAMZJZ010000101.1	contig_744
CAMZJZ010000102.1	contig_1195
CAMZJZ010000103.1	contig_1721
CAMZJZ010000104.1	contig_372
CAMZJZ010000105.1	contig_870
CAMZJZ010000106.1	contig_1012
CAMZJZ010000107.1	contig_598
CAMZJZ010000108.1	contig_521
CAMZJZ010000109.1	contig_1222
CAMZJZ010000110.1	contig_572
CAMZJZ010000111.1	contig_1368
CAMZJZ010000112.1	contig_457
CAMZJZ010000113.1	contig_1539
CAMZJZ010000114.1	contig_315
CAMZJZ010000115.1	contig_566
CAMZJZ010000116.1	contig_447
CAMZJZ010000117.1	contig_181
CAMZJZ010000118.1	contig_185
CAMZJZ010000119.1	contig_528
CAMZJZ010000120.1	contig_602
CAMZJZ010000121.1	contig_1067
CAMZJZ010000122.1	contig_1070
CAMZJZ010000123.1	contig_367
CAMZJZ010000124.1	contig_251
CAMZJZ010000125.1	contig_698
CAMZJZ010000126.1	contig_1516
CAMZJZ010000127.1	contig_661
CAMZJZ010000128.1	contig_384
CAMZJZ010000129.1	contig_350
CAMZJZ010000130.1	contig_1435
CAMZJZ010000131.1	contig_414
CAMZJZ010000132.1	contig_581
CAMZJZ010000133.1	contig_782
CAMZJZ010000134.1	contig_2031
CAMZJZ010000135.1	contig_288
CAMZJZ010000136.1	contig_125
CAMZJZ010000137.1	contig_656
CAMZJZ010000138.1	contig_1203
CAMZJZ010000139.1	contig_189
CAMZJZ010000140.1	contig_428
CAMZJZ010000141.1	contig_152
CAMZJZ010000142.1	contig_574
CAMZJZ010000143.1	contig_670
CAMZJZ010000144.1	contig_245
CAMZJZ010000145.1	contig_1330
CAMZJZ010000146.1	contig_802
CAMZJZ010000147.1	contig_1981
CAMZJZ010000148.1	contig_2005
CAMZJZ010000149.1	contig_981
CAMZJZ010000150.1	contig_1660
CAMZJZ010000151.1	contig_382
CAMZJZ010000152.1	contig_456
CAMZJZ010000153.1	contig_429
CAMZJZ010000154.1	contig_1612
CAMZJZ010000155.1	contig_822
CAMZJZ010000156.1	contig_1828
CAMZJZ010000157.1	contig_462
CAMZJZ010000158.1	contig_1053
CAMZJZ010000159.1	contig_640
CAMZJZ010000160.1	contig_218
CAMZJZ010000161.1	contig_1114
CAMZJZ010000162.1	contig_951
CAMZJZ010000163.1	contig_733
CAMZJZ010000164.1	contig_145
CAMZJZ010000165.1	contig_963
CAMZJZ010000166.1	contig_2148
CAMZJZ010000167.1	contig_621
CAMZJZ010000168.1	contig_466
CAMZJZ010000169.1	contig_865
CAMZJZ010000170.1	contig_2335
CAMZJZ010000171.1	contig_538
CAMZJZ010000172.1	contig_2142
CAMZJZ010000173.1	contig_2208
CAMZJZ010000174.1	contig_354
CAMZJZ010000175.1	contig_2551
CAMZJZ010000176.1	contig_750
CAMZJZ010000177.1	contig_779
CAMZJZ010000178.1	contig_1768
CAMZJZ010000179.1	contig_1798
CAMZJZ010000180.1	contig_420
CAMZJZ010000181.1	contig_156
CAMZJZ010000182.1	contig_701
CAMZJZ010000183.1	contig_1279
CAMZJZ010000184.1	contig_1094
CAMZJZ010000185.1	contig_1029
CAMZJZ010000186.1	contig_1654
CAMZJZ010000187.1	contig_1371
CAMZJZ010000188.1	contig_593
CAMZJZ010000189.1	contig_1632
CAMZJZ010000190.1	contig_1459
CAMZJZ010000191.1	contig_2037
CAMZJZ010000192.1	contig_932
CAMZJZ010000193.1	contig_1292
CAMZJZ010000194.1	contig_1284
CAMZJZ010000195.1	contig_729
CAMZJZ010000196.1	contig_2333
CAMZJZ010000197.1	contig_979
CAMZJZ010000198.1	contig_2731
CAMZJZ010000199.1	contig_441
CAMZJZ010000200.1	contig_337
CAMZJZ010000201.1	contig_1563
CAMZJZ010000202.1	contig_1017
CAMZJZ010000203.1	contig_1818
CAMZJZ010000204.1	contig_2045
CAMZJZ010000205.1	contig_332
CAMZJZ010000206.1	contig_1799
CAMZJZ010000207.1	contig_1306
CAMZJZ010000208.1	contig_232
CAMZJZ010000209.1	contig_302
CAMZJZ010000210.1	contig_505
CAMZJZ010000211.1	contig_423
CAMZJZ010000212.1	contig_711
CAMZJZ010000213.1	contig_636
CAMZJZ010000214.1	contig_655
CAMZJZ010000215.1	contig_455
CAMZJZ010000216.1	contig_590
CAMZJZ010000217.1	contig_704
CAMZJZ010000218.1	contig_1137
CAMZJZ010000219.1	contig_1107
CAMZJZ010000220.1	contig_63
CAMZJZ010000221.1	contig_1506
CAMZJZ010000222.1	contig_2686
CAMZJZ010000223.1	contig_269
CAMZJZ010000224.1	contig_1673
CAMZJZ010000225.1	contig_1040
CAMZJZ010000226.1	contig_838
CAMZJZ010000227.1	contig_1921
CAMZJZ010000228.1	contig_410
CAMZJZ010000229.1	contig_1211
CAMZJZ010000230.1	contig_2375
CAMZJZ010000231.1	contig_408
CAMZJZ010000232.1	contig_1112
CAMZJZ010000233.1	contig_211
CAMZJZ010000234.1	contig_1525
CAMZJZ010000235.1	contig_1128
CAMZJZ010000236.1	contig_728
CAMZJZ010000237.1	contig_492
CAMZJZ010000238.1	contig_1280
CAMZJZ010000239.1	contig_452
CAMZJZ010000240.1	contig_1232
CAMZJZ010000241.1	contig_282
CAMZJZ010000242.1	contig_601
CAMZJZ010000243.1	contig_347
CAMZJZ010000244.1	contig_468
CAMZJZ010000245.1	contig_259
CAMZJZ010000246.1	contig_411
CAMZJZ010000247.1	contig_2354
CAMZJZ010000248.1	contig_1464
CAMZJZ010000249.1	contig_499
CAMZJZ010000250.1	contig_1219
CAMZJZ010000251.1	contig_2100
CAMZJZ010000252.1	contig_888
CAMZJZ010000253.1	contig_214
CAMZJZ010000254.1	contig_2284
CAMZJZ010000255.1	contig_283
CAMZJZ010000256.1	contig_936
CAMZJZ010000257.1	contig_291
CAMZJZ010000258.1	contig_1631
CAMZJZ010000259.1	contig_460
CAMZJZ010000260.1	contig_752
CAMZJZ010000261.1	contig_489
CAMZJZ010000262.1	contig_199
CAMZJZ010000263.1	contig_676
CAMZJZ010000264.1	contig_1184
CAMZJZ010000265.1	contig_775
CAMZJZ010000266.1	contig_314
CAMZJZ010000267.1	contig_2714
CAMZJZ010000268.1	contig_864
CAMZJZ010000269.1	contig_697
CAMZJZ010000270.1	contig_188
CAMZJZ010000271.1	contig_227
CAMZJZ010000272.1	contig_1527
CAMZJZ010000273.1	contig_389
CAMZJZ010000274.1	contig_252
CAMZJZ010000275.1	contig_560
CAMZJZ010000276.1	contig_1168
CAMZJZ010000277.1	contig_1666
CAMZJZ010000278.1	contig_194
CAMZJZ010000279.1	contig_1919
CAMZJZ010000280.1	contig_619
CAMZJZ010000281.1	contig_677
CAMZJZ010000282.1	contig_1336
CAMZJZ010000283.1	contig_1821
CAMZJZ010000284.1	contig_2174
CAMZJZ010000285.1	contig_2441
CAMZJZ010000286.1	contig_2082
CAMZJZ010000287.1	contig_659
CAMZJZ010000288.1	contig_2164
CAMZJZ010000289.1	contig_1863
CAMZJZ010000290.1	contig_1236
CAMZJZ010000291.1	contig_646
CAMZJZ010000292.1	contig_928
CAMZJZ010000293.1	contig_206
CAMZJZ010000294.1	contig_1130
CAMZJZ010000295.1	contig_1910
CAMZJZ010000296.1	contig_371
CAMZJZ010000297.1	contig_616
CAMZJZ010000298.1	contig_1505
CAMZJZ010000299.1	contig_826
CAMZJZ010000300.1	contig_374
CAMZJZ010000301.1	contig_323
CAMZJZ010000302.1	contig_652
CAMZJZ010000303.1	contig_1628
CAMZJZ010000304.1	contig_2453
CAMZJZ010000305.1	contig_1582
CAMZJZ010000306.1	contig_1134
CAMZJZ010000307.1	contig_205
CAMZJZ010000308.1	contig_607
CAMZJZ010000309.1	contig_1647
CAMZJZ010000310.1	contig_1328
CAMZJZ010000311.1	contig_2153
CAMZJZ010000312.1	contig_1562
CAMZJZ010000313.1	contig_209
CAMZJZ010000314.1	contig_1569
CAMZJZ010000315.1	contig_815
CAMZJZ010000316.1	contig_678
CAMZJZ010000317.1	contig_1041
CAMZJZ010000318.1	contig_573
CAMZJZ010000319.1	contig_663
CAMZJZ010000320.1	contig_1154
CAMZJZ010000321.1	contig_504
CAMZJZ010000322.1	contig_310
CAMZJZ010000323.1	contig_591
CAMZJZ010000324.1	contig_1739
CAMZJZ010000325.1	contig_1220
CAMZJZ010000326.1	contig_1074
CAMZJZ010000327.1	contig_237
CAMZJZ010000328.1	contig_2172
CAMZJZ010000329.1	contig_1136
CAMZJZ010000330.1	contig_294
CAMZJZ010000331.1	contig_2098
CAMZJZ010000332.1	contig_1495
CAMZJZ010000333.1	contig_1317
CAMZJZ010000334.1	contig_1261
CAMZJZ010000335.1	contig_234
CAMZJZ010000336.1	contig_633
CAMZJZ010000337.1	contig_653
CAMZJZ010000338.1	contig_2374
CAMZJZ010000339.1	contig_1906
CAMZJZ010000340.1	contig_609
CAMZJZ010000341.1	contig_1553
CAMZJZ010000342.1	contig_1143
CAMZJZ010000343.1	contig_850
CAMZJZ010000344.1	contig_270
CAMZJZ010000345.1	contig_229
CAMZJZ010000346.1	contig_2234
CAMZJZ010000347.1	contig_150
CAMZJZ010000348.1	contig_917
CAMZJZ010000349.1	contig_1987
CAMZJZ010000350.1	contig_1679
CAMZJZ010000351.1	contig_2223
CAMZJZ010000352.1	contig_1270
CAMZJZ010000353.1	contig_330
CAMZJZ010000354.1	contig_497
CAMZJZ010000355.1	contig_1438
CAMZJZ010000356.1	contig_2596
CAMZJZ010000357.1	contig_392
CAMZJZ010000358.1	contig_144
CAMZJZ010000359.1	contig_1626
CAMZJZ010000360.1	contig_2071
CAMZJZ010000361.1	contig_2015
CAMZJZ010000362.1	contig_1115
CAMZJZ010000363.1	contig_927
CAMZJZ010000364.1	contig_522
CAMZJZ010000365.1	contig_562
CAMZJZ010000366.1	contig_2434
CAMZJZ010000367.1	contig_1853
CAMZJZ010000368.1	contig_433
CAMZJZ010000369.1	contig_1532
CAMZJZ010000370.1	contig_2248
CAMZJZ010000371.1	contig_933
CAMZJZ010000372.1	contig_766
CAMZJZ010000373.1	contig_448
CAMZJZ010000374.1	contig_1071
CAMZJZ010000375.1	contig_1531
CAMZJZ010000376.1	contig_644
CAMZJZ010000377.1	contig_2499
CAMZJZ010000378.1	contig_186
CAMZJZ010000379.1	contig_1078
CAMZJZ010000380.1	contig_360
CAMZJZ010000381.1	contig_1173
CAMZJZ010000382.1	contig_762
CAMZJZ010000383.1	contig_1852
CAMZJZ010000384.1	contig_931
CAMZJZ010000385.1	contig_1908
CAMZJZ010000386.1	contig_1747
CAMZJZ010000387.1	contig_469
CAMZJZ010000388.1	contig_637
CAMZJZ010000389.1	contig_1254
CAMZJZ010000390.1	contig_1091
CAMZJZ010000391.1	contig_1212
CAMZJZ010000392.1	contig_2276
CAMZJZ010000393.1	contig_1119
CAMZJZ010000394.1	contig_929
CAMZJZ010000395.1	contig_1253
CAMZJZ010000396.1	contig_730
CAMZJZ010000397.1	contig_1462
CAMZJZ010000398.1	contig_819
CAMZJZ010000399.1	contig_681
CAMZJZ010000400.1	contig_921
CAMZJZ010000401.1	contig_993
CAMZJZ010000402.1	contig_1042
CAMZJZ010000403.1	contig_1421
CAMZJZ010000404.1	contig_425
CAMZJZ010000405.1	contig_585
CAMZJZ010000406.1	contig_385
CAMZJZ010000407.1	contig_1079
CAMZJZ010000408.1	contig_2465
CAMZJZ010000409.1	contig_508
CAMZJZ010000410.1	contig_568
CAMZJZ010000411.1	contig_1082
CAMZJZ010000412.1	contig_1358
CAMZJZ010000413.1	contig_787
CAMZJZ010000414.1	contig_2036
CAMZJZ010000415.1	contig_2296
CAMZJZ010000416.1	contig_1410
CAMZJZ010000417.1	contig_980
CAMZJZ010000418.1	contig_1374
CAMZJZ010000419.1	contig_829
CAMZJZ010000420.1	contig_2600
CAMZJZ010000421.1	contig_2477
CAMZJZ010000422.1	contig_638
CAMZJZ010000423.1	contig_440
CAMZJZ010000424.1	contig_2523
CAMZJZ010000425.1	contig_901
CAMZJZ010000426.1	contig_1451
CAMZJZ010000427.1	contig_612
CAMZJZ010000428.1	contig_240
CAMZJZ010000429.1	contig_2699
CAMZJZ010000430.1	contig_1109
CAMZJZ010000431.1	contig_599
CAMZJZ010000432.1	contig_770
CAMZJZ010000433.1	contig_1251
CAMZJZ010000434.1	contig_442
CAMZJZ010000435.1	contig_777
CAMZJZ010000436.1	contig_1303
CAMZJZ010000437.1	contig_503
CAMZJZ010000438.1	contig_1110
CAMZJZ010000439.1	contig_296
CAMZJZ010000440.1	contig_1092
CAMZJZ010000441.1	contig_791
CAMZJZ010000442.1	contig_1546
CAMZJZ010000443.1	contig_1142
CAMZJZ010000444.1	contig_549
CAMZJZ010000445.1	contig_606
CAMZJZ010000446.1	contig_536
CAMZJZ010000447.1	contig_1138
CAMZJZ010000448.1	contig_1145
CAMZJZ010000449.1	contig_1139
CAMZJZ010000450.1	contig_2389
CAMZJZ010000451.1	contig_795
CAMZJZ010000452.1	contig_630
CAMZJZ010000453.1	contig_1426
CAMZJZ010000454.1	contig_2394
CAMZJZ010000455.1	contig_594
CAMZJZ010000456.1	contig_1349
CAMZJZ010000457.1	contig_579
CAMZJZ010000458.1	contig_2645
CAMZJZ010000459.1	contig_207
CAMZJZ010000460.1	contig_2345
CAMZJZ010000461.1	contig_2625
CAMZJZ010000462.1	contig_2408
CAMZJZ010000463.1	contig_1418
CAMZJZ010000464.1	contig_1621
CAMZJZ010000465.1	contig_2169
CAMZJZ010000466.1	contig_1075
CAMZJZ010000467.1	contig_2024
CAMZJZ010000468.1	contig_1453
CAMZJZ010000469.1	contig_1151
CAMZJZ010000470.1	contig_2211
CAMZJZ010000471.1	contig_2003
CAMZJZ010000472.1	contig_1059
CAMZJZ010000473.1	contig_444
CAMZJZ010000474.1	contig_2199
CAMZJZ010000475.1	contig_2472
CAMZJZ010000476.1	contig_1855
CAMZJZ010000477.1	contig_2811
CAMZJZ010000478.1	contig_511
CAMZJZ010000479.1	contig_1743
CAMZJZ010000480.1	contig_1161
CAMZJZ010000481.1	contig_2421
CAMZJZ010000482.1	contig_1579
CAMZJZ010000483.1	contig_362
CAMZJZ010000484.1	contig_686
CAMZJZ010000485.1	contig_1487
CAMZJZ010000486.1	contig_526
CAMZJZ010000487.1	contig_592
CAMZJZ010000488.1	contig_1009
CAMZJZ010000489.1	contig_968
CAMZJZ010000490.1	contig_1830
CAMZJZ010000491.1	contig_2301
CAMZJZ010000492.1	contig_2692
CAMZJZ010000493.1	contig_324
CAMZJZ010000494.1	contig_1651
CAMZJZ010000495.1	contig_2141
CAMZJZ010000496.1	contig_1608
CAMZJZ010000497.1	contig_1492
CAMZJZ010000498.1	contig_300
CAMZJZ010000499.1	contig_983
CAMZJZ010000500.1	contig_2336
CAMZJZ010000501.1	contig_2313
CAMZJZ010000502.1	contig_1043
CAMZJZ010000503.1	contig_1511
CAMZJZ010000504.1	contig_2023
CAMZJZ010000505.1	contig_897
CAMZJZ010000506.1	contig_2149
CAMZJZ010000507.1	contig_1940
CAMZJZ010000508.1	contig_1126
CAMZJZ010000509.1	contig_2007
CAMZJZ010000510.1	contig_2240
CAMZJZ010000511.1	contig_1923
CAMZJZ010000512.1	contig_2038
CAMZJZ010000513.1	contig_944
CAMZJZ010000514.1	contig_1209
CAMZJZ010000515.1	contig_1996
CAMZJZ010000516.1	contig_547
CAMZJZ010000517.1	contig_1500
CAMZJZ010000518.1	contig_333
CAMZJZ010000519.1	contig_1376
CAMZJZ010000520.1	contig_2467
CAMZJZ010000521.1	contig_2710
CAMZJZ010000522.1	contig_2725
CAMZJZ010000523.1	contig_2102
CAMZJZ010000524.1	contig_2118
CAMZJZ010000525.1	contig_2122
CAMZJZ010000526.1	contig_1678
CAMZJZ010000527.1	contig_1736
CAMZJZ010000528.1	contig_356
CAMZJZ010000529.1	contig_2255
CAMZJZ010000530.1	contig_996
CAMZJZ010000531.1	contig_539
CAMZJZ010000532.1	contig_1259
CAMZJZ010000533.1	contig_1443
CAMZJZ010000534.1	contig_849
CAMZJZ010000535.1	contig_886
CAMZJZ010000536.1	contig_1536
CAMZJZ010000537.1	contig_558
CAMZJZ010000538.1	contig_2084
CAMZJZ010000539.1	contig_997
CAMZJZ010000540.1	contig_1499
CAMZJZ010000541.1	contig_407
CAMZJZ010000542.1	contig_2827
CAMZJZ010000543.1	contig_1363
CAMZJZ010000544.1	contig_2320
CAMZJZ010000545.1	contig_1322
CAMZJZ010000546.1	contig_732
CAMZJZ010000547.1	contig_631
CAMZJZ010000548.1	contig_1825
CAMZJZ010000549.1	contig_1401
CAMZJZ010000550.1	contig_2834
CAMZJZ010000551.1	contig_1081
CAMZJZ010000552.1	contig_919
CAMZJZ010000553.1	contig_1479
CAMZJZ010000554.1	contig_1097
CAMZJZ010000555.1	contig_1105
CAMZJZ010000556.1	contig_809
CAMZJZ010000557.1	contig_2782
CAMZJZ010000558.1	contig_1683
CAMZJZ010000559.1	contig_329
CAMZJZ010000560.1	contig_722
CAMZJZ010000561.1	contig_1954
CAMZJZ010000562.1	contig_1648
CAMZJZ010000563.1	contig_966
CAMZJZ010000564.1	contig_262
CAMZJZ010000565.1	contig_2409
CAMZJZ010000566.1	contig_529
CAMZJZ010000567.1	contig_1778
CAMZJZ010000568.1	contig_2127
CAMZJZ010000569.1	contig_990
CAMZJZ010000570.1	contig_2305
CAMZJZ010000571.1	contig_197
CAMZJZ010000572.1	contig_1217
CAMZJZ010000573.1	contig_2629
CAMZJZ010000574.1	contig_718
CAMZJZ010000575.1	contig_1491
CAMZJZ010000576.1	contig_938
CAMZJZ010000577.1	contig_1605
CAMZJZ010000578.1	contig_1425
CAMZJZ010000579.1	contig_473
CAMZJZ010000580.1	contig_1262
CAMZJZ010000581.1	contig_1299
CAMZJZ010000582.1	contig_1235
CAMZJZ010000583.1	contig_32
CAMZJZ010000584.1	contig_2440
CAMZJZ010000585.1	contig_1600
CAMZJZ010000586.1	contig_880
CAMZJZ010000587.1	contig_1493
CAMZJZ010000588.1	contig_1914
CAMZJZ010000589.1	contig_1399
CAMZJZ010000590.1	contig_1540
CAMZJZ010000591.1	contig_2046
CAMZJZ010000592.1	contig_1945
CAMZJZ010000593.1	contig_2763
CAMZJZ010000594.1	contig_1752
CAMZJZ010000595.1	contig_673
CAMZJZ010000596.1	contig_1486
CAMZJZ010000597.1	contig_868
CAMZJZ010000598.1	contig_1514
CAMZJZ010000599.1	contig_1319
CAMZJZ010000600.1	contig_1611
CAMZJZ010000601.1	contig_1649
CAMZJZ010000602.1	contig_2976
CAMZJZ010000603.1	contig_2665
CAMZJZ010000604.1	contig_1340
CAMZJZ010000605.1	contig_2040
CAMZJZ010000606.1	contig_1773
CAMZJZ010000607.1	contig_2509
CAMZJZ010000608.1	contig_1022
CAMZJZ010000609.1	contig_803
CAMZJZ010000610.1	contig_1944
CAMZJZ010000611.1	contig_1257
CAMZJZ010000612.1	contig_712
CAMZJZ010000613.1	contig_1048
CAMZJZ010000614.1	contig_667
CAMZJZ010000615.1	contig_910
CAMZJZ010000616.1	contig_2787
CAMZJZ010000617.1	contig_961
CAMZJZ010000618.1	contig_299
CAMZJZ010000619.1	contig_1350
CAMZJZ010000620.1	contig_1635
CAMZJZ010000621.1	contig_2540
CAMZJZ010000622.1	contig_1129
CAMZJZ010000623.1	contig_191
CAMZJZ010000624.1	contig_470
CAMZJZ010000625.1	contig_626
CAMZJZ010000626.1	contig_1237
CAMZJZ010000627.1	contig_2466
CAMZJZ010000628.1	contig_2000
CAMZJZ010000629.1	contig_1880
CAMZJZ010000630.1	contig_2560
CAMZJZ010000631.1	contig_1946
CAMZJZ010000632.1	contig_1694
CAMZJZ010000633.1	contig_1000
CAMZJZ010000634.1	contig_2657
CAMZJZ010000635.1	contig_1873
CAMZJZ010000636.1	contig_2176
CAMZJZ010000637.1	contig_2332
CAMZJZ010000638.1	contig_2066
CAMZJZ010000639.1	contig_2718
CAMZJZ010000640.1	contig_1006
CAMZJZ010000641.1	contig_3039
CAMZJZ010000642.1	contig_2086
CAMZJZ010000643.1	contig_1659
CAMZJZ010000644.1	contig_250
CAMZJZ010000645.1	contig_998
CAMZJZ010000646.1	contig_1316
CAMZJZ010000647.1	contig_1063
CAMZJZ010000648.1	contig_2323
CAMZJZ010000649.1	contig_1090
CAMZJZ010000650.1	contig_2113
CAMZJZ010000651.1	contig_1687
CAMZJZ010000652.1	contig_688
CAMZJZ010000653.1	contig_2518
CAMZJZ010000654.1	contig_2146
CAMZJZ010000655.1	contig_642
CAMZJZ010000656.1	contig_778
CAMZJZ010000657.1	contig_964
CAMZJZ010000658.1	contig_2493
CAMZJZ010000659.1	contig_1450
CAMZJZ010000660.1	contig_2281
CAMZJZ010000661.1	contig_1677
CAMZJZ010000662.1	contig_575
CAMZJZ010000663.1	contig_1480
CAMZJZ010000664.1	contig_1005
CAMZJZ010000665.1	contig_1100
CAMZJZ010000666.1	contig_1872
CAMZJZ010000667.1	contig_765
CAMZJZ010000668.1	contig_383
CAMZJZ010000669.1	contig_2457
CAMZJZ010000670.1	contig_1589
CAMZJZ010000671.1	contig_2078
CAMZJZ010000672.1	contig_2668
CAMZJZ010000673.1	contig_2042
CAMZJZ010000674.1	contig_278
CAMZJZ010000675.1	contig_2186
CAMZJZ010000676.1	contig_2458
CAMZJZ010000677.1	contig_2673
CAMZJZ010000678.1	contig_962
CAMZJZ010000679.1	contig_1170
CAMZJZ010000680.1	contig_1080
CAMZJZ010000681.1	contig_2650
CAMZJZ010000682.1	contig_1226
CAMZJZ010000683.1	contig_346
CAMZJZ010000684.1	contig_472
CAMZJZ010000685.1	contig_654
CAMZJZ010000686.1	contig_2242
CAMZJZ010000687.1	contig_1490
CAMZJZ010000688.1	contig_1960
CAMZJZ010000689.1	contig_924
CAMZJZ010000690.1	contig_2654
CAMZJZ010000691.1	contig_699
CAMZJZ010000692.1	contig_758
CAMZJZ010000693.1	contig_785
CAMZJZ010000694.1	contig_1351
CAMZJZ010000695.1	contig_1467
CAMZJZ010000696.1	contig_1846
CAMZJZ010000697.1	contig_978
CAMZJZ010000698.1	contig_1104
CAMZJZ010000699.1	contig_1164
CAMZJZ010000700.1	contig_587
CAMZJZ010000701.1	contig_213
CAMZJZ010000702.1	contig_1904
CAMZJZ010000703.1	contig_1167
CAMZJZ010000704.1	contig_1862
CAMZJZ010000705.1	contig_2635
CAMZJZ010000706.1	contig_582
CAMZJZ010000707.1	contig_991
CAMZJZ010000708.1	contig_326
CAMZJZ010000709.1	contig_2198
CAMZJZ010000710.1	contig_1268
CAMZJZ010000711.1	contig_1541
CAMZJZ010000712.1	contig_394
CAMZJZ010000713.1	contig_2104
CAMZJZ010000714.1	contig_588
CAMZJZ010000715.1	contig_2502
CAMZJZ010000716.1	contig_943
CAMZJZ010000717.1	contig_2251
CAMZJZ010000718.1	contig_2244
CAMZJZ010000719.1	contig_535
CAMZJZ010000720.1	contig_2262
CAMZJZ010000721.1	contig_945
CAMZJZ010000722.1	contig_2009
CAMZJZ010000723.1	contig_1655
CAMZJZ010000724.1	contig_624
CAMZJZ010000725.1	contig_1437
CAMZJZ010000726.1	contig_2265
CAMZJZ010000727.1	contig_1670
CAMZJZ010000728.1	contig_2026
CAMZJZ010000729.1	contig_2526
CAMZJZ010000730.1	contig_1050
CAMZJZ010000731.1	contig_2952
CAMZJZ010000732.1	contig_1288
CAMZJZ010000733.1	contig_839
CAMZJZ010000734.1	contig_756
CAMZJZ010000735.1	contig_1902
CAMZJZ010000736.1	contig_451
CAMZJZ010000737.1	contig_475
CAMZJZ010000738.1	contig_1295
CAMZJZ010000739.1	contig_3048
CAMZJZ010000740.1	contig_2468
CAMZJZ010000741.1	contig_620
CAMZJZ010000742.1	contig_2435
CAMZJZ010000743.1	contig_725
CAMZJZ010000744.1	contig_571
CAMZJZ010000745.1	contig_2587
CAMZJZ010000746.1	contig_1571
