CpG;LD;Loading
63877948;LD1;3.95704087211809e-05
63877952;LD1;9.77620644728654e-07
64332262;LD1;3.09940296785076e-05
64332302;LD1;1.59995329630565e-06
64332348;LD1;2.76615899257324e-06
64355005;LD1;0.000590955086865671
64355047;LD1;0.00038612945575642
64386040;LD1;9.3001956735716e-07
64386180;LD1;1.02230061080992e-06
64386233;LD1;1.95572729783837e-05
64458541;LD1;0.000571696772685829
64856971;LD1;2.30838663814491e-05
65160271;LD1;8.46237931631474e-08
65237321;LD1;1.90247318998095e-05
65237449;LD1;3.98617117276499e-07
65237502;LD1;5.08117893879822e-06
65999435;LD1;6.80768587138587e-05
66188720;LD1;1.38045708342512e-05
66188724;LD1;3.39328685316127e-05
66188771;LD1;6.86396413372138e-05
66188848;LD1;6.96814354369831e-06
66188888;LD1;0.000105054440377211
66188898;LD1;2.13338404649143e-06
66188908;LD1;3.20358961904562e-05
66489162;LD1;8.79401342988616e-06
66489174;LD1;5.29491853062787e-06
66489203;LD1;3.31079089521171e-05
66489247;LD1;4.30702457827834e-08
66489283;LD1;5.41651934780785e-06
66489301;LD1;1.54400623339636e-05
66489305;LD1;2.23576398368411e-05
66489309;LD1;1.80045744401936e-05
66489335;LD1;1.82291202564957e-05
66489378;LD1;8.2858217198117e-07
66589012;LD1;4.61715873858432e-06
66691868;LD1;4.07077997025687e-06
66842027;LD1;9.83687376138821e-07
66842059;LD1;8.36186082673595e-06
66872895;LD1;1.81427336655312e-05
66923287;LD1;0.00438365690358587
66923294;LD1;1.20047507645523e-05
66923367;LD1;0.000111981973285305
66923379;LD1;4.67832300409492e-06
66961205;LD1;1.87874952866737e-09
66961291;LD1;6.64166346093055e-05
66961452;LD1;1.2133804562744e-05
67106653;LD1;2.62186739520613e-07
67106772;LD1;1.24732846749379e-07
67106779;LD1;4.40628701978032e-07
67106786;LD1;4.67235645797536e-06
67148454;LD1;2.99464040838582e-05
67148661;LD1;5.23590360312683e-05
67357615;LD1;7.24500390546801e-06
67434690;LD1;2.519393303947e-09
67669122;LD1;1.47375239305388e-06
67669179;LD1;1.98791683656815e-06
67669181;LD1;0.000245785008573215
67669203;LD1;6.7596983071457e-06
67669235;LD1;4.7305124638975e-05
67727782;LD1;1.21523175748828e-05
67727999;LD1;0.00807341845246403
67913069;LD1;1.3764853946257e-05
67913104;LD1;5.7604693774045e-08
67984099;LD1;1.05780732491632e-05
67984180;LD1;0.000378427042704211
67984203;LD1;3.59421591455431e-05
67991974;LD1;8.56354085251425e-05
67992011;LD1;1.83954996119905e-05
67992062;LD1;3.24330528357283e-08
68171990;LD1;4.8089282260376e-06
68172001;LD1;5.9858838141673e-06
68172052;LD1;1.92641455797276e-05
68172095;LD1;0.000213383149799552
68396980;LD1;7.14406727351442e-06
68396997;LD1;1.11653076980094e-05
68397001;LD1;2.72724047301413e-07
68397131;LD1;1.88268813042354e-06
68397144;LD1;4.0729625067858e-07
68397188;LD1;2.28719011346984e-06
68397197;LD1;2.99605526568147e-06
68397204;LD1;5.83594340523298e-06
68423116;LD1;1.33711818924105e-05
68423207;LD1;0.000319621906626347
68423288;LD1;0.000328782395742971
68423291;LD1;1.06878915942643e-05
68423312;LD1;1.30000930991396e-08
68423322;LD1;1.49381325866519e-05
68423333;LD1;0.000113467018650115
68423343;LD1;3.87116071149338e-06
68423352;LD1;2.70601858400723e-05
68594843;LD1;2.7554388210059e-06
68594851;LD1;1.05322988675613e-05
68594868;LD1;1.47429493807835e-05
68594949;LD1;1.04145209326229e-06
68595015;LD1;9.24147966245743e-05
68725106;LD1;6.38657940033262e-05
68986956;LD1;0.000100749943524701
68986960;LD1;4.4687531189933e-07
68987033;LD1;1.36177645185443e-05
68987055;LD1;8.06714901445627e-07
68987167;LD1;3.07204900270371e-06
68987178;LD1;0.000693702906224458
68987197;LD1;5.83937062345314e-06
69076206;LD1;2.68288219018813e-10
69076246;LD1;8.75180228282182e-07
69076268;LD1;9.16150738225666e-08
69076270;LD1;1.47778886907097e-08
69076413;LD1;1.18365019714284e-05
69076437;LD1;7.47900962982852e-07
69633803;LD1;5.68528651406928e-08
69633835;LD1;1.2813336669728e-06
69633853;LD1;0.000183790716764361
69633916;LD1;2.80916506696768e-06
69633918;LD1;2.78321086256386e-05
69633929;LD1;3.96880863665206e-06
69633984;LD1;9.10434228752138e-05
69633986;LD1;1.09588387234944e-07
69976736;LD1;2.63125355945997e-07
69976773;LD1;2.0627424771976e-05
69976830;LD1;0.000578500782479633
69976884;LD1;2.17712165974048e-07
69976914;LD1;0.0019673240441348
69976929;LD1;1.22799735556781e-06
69976936;LD1;2.12517422787217e-05
69976947;LD1;1.24253407892879e-05
70150236;LD1;3.29800445140237e-06
70150317;LD1;1.95055146673649e-05
70236916;LD1;0.000287956273063028
70237143;LD1;9.10628837923538e-05
70237152;LD1;1.34423477754134e-05
70616468;LD1;1.09509432786659e-06
70616510;LD1;2.34792022864732e-06
70616590;LD1;0.000262023934233656
70616625;LD1;4.5938824453706e-05
70616648;LD1;8.98495868383162e-05
70616712;LD1;2.38621776627285e-05
70616734;LD1;7.57356569257071e-08
70674025;LD1;4.12311401843975e-05
70820583;LD1;1.60657782632929e-06
70914222;LD1;4.10167772858234e-05
71025809;LD1;8.78940989594683e-06
71025828;LD1;6.36460284008368e-06
71033266;LD1;3.42083250496177e-08
71085359;LD1;3.67010250057055e-08
71085529;LD1;9.68136928042362e-06
71085530;LD1;1.10067153052754e-05
71085531;LD1;9.43281894114674e-05
71085532;LD1;1.20684050625286e-06
71085540;LD1;1.49357366337728e-06
71085541;LD1;1.40906287839368e-06
71085561;LD1;2.14757917903959e-07
71085562;LD1;3.40476204670717e-07
71107439;LD1;2.83773247787924e-06
71107519;LD1;6.55237661727412e-05
71107622;LD1;2.74959594394847e-05
71287260;LD1;1.61404820442180e-10
71287269;LD1;9.25013885792115e-06
71287274;LD1;4.01797164627048e-07
71287313;LD1;1.03201872640816e-05
71287326;LD1;5.00465209606055e-07
71364247;LD1;3.23460235117292e-05
71364308;LD1;2.35573386936152e-05
71364383;LD1;3.09060214162555e-08
71364508;LD1;1.03549348642042e-06
71965312;LD1;2.70507991964421e-05
71984300;LD1;8.67798060773853e-06
71985230;LD1;1.69667877487587e-05
71985245;LD1;1.19156001538565e-06
71985312;LD1;4.12942927498927e-05
71985371;LD1;7.12248901457101e-07
71985393;LD1;2.08818074815346e-06
72065902;LD1;5.6613500408631e-07
72065906;LD1;0.000636063676015725
72065924;LD1;1.82011182965582e-07
72065956;LD1;2.87928354792943e-05
72065964;LD1;7.38588051036239e-06
72097301;LD1;0.000118739961933532
72097370;LD1;2.22956541116644e-05
72097401;LD1;2.54345968644503e-05
72097473;LD1;3.9619923176281e-06
72097512;LD1;1.01768926308841e-05
72107107;LD1;3.64835381487501e-06
72267893;LD1;1.62791597561873e-05
72267899;LD1;3.57638289997492e-08
72422183;LD1;1.08269726113578e-06
72422245;LD1;3.43333829722705e-06
72483409;LD1;9.81353247794766e-07
72483524;LD1;4.37673467165022e-07
72483532;LD1;1.56205868507069e-05
72489913;LD1;4.05001005629407e-06
72489960;LD1;0.00128616679047434
72489973;LD1;4.54037625126584e-06
72490001;LD1;4.85355285692733e-08
72490163;LD1;4.43374832103729e-06
72539738;LD1;4.41202981934236e-07
72539792;LD1;7.97525276154846e-06
72631183;LD1;7.04639489188024e-06
72631230;LD1;2.49347801333977e-05
72631237;LD1;5.69584023942026e-06
72631367;LD1;1.53154981583047e-06
72631436;LD1;0.000144935734505176
72666871;LD1;1.30967220717171e-05
72666877;LD1;3.76352019889148e-06
72666895;LD1;5.75143938970871e-05
72666910;LD1;2.78847761503003e-06
72666971;LD1;4.9796424076042e-06
72667037;LD1;8.8879537477195e-06
72700913;LD1;0.000167603253261049
72700921;LD1;0.000414116206932926
72700931;LD1;0.000307332471400735
72700977;LD1;0.000143531859691527
72700979;LD1;2.04391576121258e-05
72700986;LD1;3.10377562324479e-05
72701033;LD1;0.000106784153868025
72701057;LD1;5.71905329149792e-06
72701096;LD1;4.68037589276471e-06
72723072;LD1;2.16456030077557e-09
72741131;LD1;3.0211040658493e-08
72741225;LD1;3.20646253508494e-07
72741342;LD1;4.94517994180247e-06
72741350;LD1;1.65608519756251e-05
72760422;LD1;0.000313886587229115
72760476;LD1;5.41513809668869e-05
72760497;LD1;0.000460808576460009
72760514;LD1;0.000258929083081162
72760581;LD1;1.02683542952312e-05
72760638;LD1;2.52585453870208e-08
72760642;LD1;6.04880400948846e-07
72760677;LD1;0.000587894894252599
72863436;LD1;3.84170572627335e-09
72863502;LD1;1.89076584731869e-05
73240773;LD1;1.22501469508307e-05
73240775;LD1;9.76308921826254e-06
73240786;LD1;1.50151027575555e-05
73323968;LD1;0.00122308382488489
73357689;LD1;4.79623129249201e-06
73357788;LD1;3.78357505524672e-05
73357792;LD1;8.50729994898677e-07
73357814;LD1;1.37019957425754e-06
73357830;LD1;5.14159251926111e-06
73357849;LD1;8.18626469931961e-06
73357884;LD1;5.26748107293483e-07
73490520;LD1;3.14001421144386e-08
73490530;LD1;3.93679164016709e-06
73490570;LD1;5.46234756307695e-07
73490598;LD1;1.3374827049397e-05
73490639;LD1;4.02153197812382e-05
73490650;LD1;1.28241546484079e-06
73490673;LD1;2.06229096652974e-06
73490701;LD1;1.06633534405947e-05
73490705;LD1;2.12143534890813e-06
73490748;LD1;4.27169387360346e-06
73506418;LD1;2.99561084833548e-06
73506473;LD1;3.0907910963352e-05
73506515;LD1;0.000357382731928573
73581412;LD1;3.4863785764438e-08
73581467;LD1;6.80123340298499e-07
73581478;LD1;1.26192679725906e-05
73983293;LD1;1.01340690790221e-05
73983303;LD1;2.6986168108872e-08
73983343;LD1;2.05353965135814e-06
73983371;LD1;1.66769353113197e-06
73983412;LD1;3.05777517702988e-05
73983417;LD1;3.29094726368687e-06
73983423;LD1;2.31520231669869e-06
73983432;LD1;2.20466493986692e-06
73983446;LD1;9.86362965213653e-09
73983478;LD1;6.8809983111293e-07
73983503;LD1;1.60862137227175e-05
73983521;LD1;1.6416018612959e-05
74165116;LD1;3.78760746911245e-07
74165208;LD1;0.000235078166276001
74165285;LD1;8.26527015494744e-06
74587849;LD1;8.51315672758986e-05
74969082;LD1;7.19677326330643e-06
74969119;LD1;6.49188077399781e-06
75135934;LD1;0.00496695015847105
75147963;LD1;2.58892218633785e-05
75148018;LD1;2.34321497758009e-06
75148160;LD1;7.48659103763121e-06
75148187;LD1;1.45373541189858e-05
75440258;LD1;2.55975397246141e-07
75440350;LD1;8.91743354927374e-05
75440385;LD1;2.49662895705748e-06
75440399;LD1;3.3433587537943e-05
75440415;LD1;9.54757727409071e-06
75440423;LD1;9.84794880615959e-06
75510388;LD1;0.000379523376069577
75510396;LD1;0.00195520635585126
75510473;LD1;0.000227266443042115
75510490;LD1;0.00032956302018567
75510535;LD1;0.00152287781302395
75510553;LD1;0.00195741352183519
75691009;LD1;0.000119171601113841
75753677;LD1;2.72825252539337e-10
75753814;LD1;1.69702117567274e-05
75753838;LD1;2.53278966016364e-06
76046120;LD1;2.17526978616334e-06
76046129;LD1;4.01969577923441e-06
76046157;LD1;9.12880262088442e-06
76046350;LD1;6.80208687100095e-06
76046369;LD1;2.09415246528535e-07
76531441;LD1;0.000101359821096717
76531517;LD1;2.58502160647529e-05
76531535;LD1;2.88153530642828e-05
76531594;LD1;4.34350147231415e-07
76739790;LD1;4.33666258765266e-06
76739820;LD1;3.18628299453548e-05
76868919;LD1;1.05601567965905e-05
76869018;LD1;0.000603733773008831
77005157;LD1;1.58781665161186e-05
77178385;LD1;4.05457200746469e-07
77229065;LD1;7.85421635385899e-05
77229068;LD1;2.92046558092722e-06
77229079;LD1;1.02010782316787e-06
77229089;LD1;1.81455221055173e-05
77229138;LD1;1.24670845080135e-05
77229164;LD1;5.73063611415812e-06
77229190;LD1;7.01204605087626e-06
77229202;LD1;1.0949537450519e-06
77229237;LD1;4.12098729591537e-06
77229243;LD1;3.29543426047611e-06
77229272;LD1;4.62184679773421e-05
77229283;LD1;0.00210338460848368
77229292;LD1;3.0248019245348e-06
77229298;LD1;2.58182625287379e-06
77229302;LD1;6.01948712071808e-06
77243486;LD1;1.79223389930196e-05
77243553;LD1;5.81936716235089e-08
77243573;LD1;5.99095402699142e-09
77243581;LD1;1.29491708894078e-06
77352871;LD1;2.9181347685136e-06
77379015;LD1;3.22754519002733e-05
77379073;LD1;4.83704790852332e-06
77379085;LD1;4.60828028010911e-06
77522174;LD1;4.79178321975166e-06
77522240;LD1;1.23953835851957e-05
77522300;LD1;1.63868534797845e-05
77688157;LD1;5.36222458582884e-05
77688164;LD1;4.96710588866201e-06
77688221;LD1;5.12517867738576e-06
77688300;LD1;6.97430141427808e-08
77688303;LD1;0.000147011582156089
77688305;LD1;3.3317768826037e-05
77688330;LD1;0.000126208111219026
77787801;LD1;2.56917140588444e-05
77787822;LD1;9.85231755353135e-07
77787831;LD1;1.61052739677516e-06
77787833;LD1;6.05165830422798e-06
77787892;LD1;7.0939424117865e-06
77788003;LD1;2.65794305803002e-05
77793572;LD1;7.31153153123409e-07
77793633;LD1;2.712580772319e-07
77793678;LD1;5.77923853807874e-05
77793715;LD1;9.20042410970869e-06
78019898;LD1;3.50543511170501e-07
78020047;LD1;3.50171578565095e-05
78020127;LD1;1.33245691712895e-06
78080844;LD1;1.03260256855771e-06
78080983;LD1;1.44848876688991e-07
78263964;LD1;5.18311846262538e-06
78264188;LD1;0.000148304100801765
78377833;LD1;2.10016004990178e-06
78377850;LD1;8.58032145324707e-05
78661022;LD1;9.20020140768045e-05
78661054;LD1;0.000353667019954255
78661137;LD1;2.78452454572347e-07
78661205;LD1;2.56062300665426e-05
78705541;LD1;5.04848538728534e-06
79009794;LD1;4.20217434458351e-06
79048601;LD1;2.92767482847721e-06
79048607;LD1;3.6832323988537e-05
79048694;LD1;1.03757739746732e-06
79048707;LD1;4.60797533697478e-09
79048722;LD1;1.3809901991352e-05
79126634;LD1;6.17522149384078e-05
79126643;LD1;1.36232001764957e-05
79126645;LD1;2.9282851740231e-05
79126685;LD1;0.00137963649959743
79126709;LD1;2.79052405662093e-05
79126723;LD1;2.98745006886119e-06
79126749;LD1;0.00132715702202982
79126788;LD1;0.00143693288293633
79261837;LD1;7.57548174036296e-05
79261850;LD1;5.16502552886639e-06
79261876;LD1;5.4562535707779e-06
79261879;LD1;0.000193060289481336
79261891;LD1;1.95168350690578e-06
79261923;LD1;1.78316536557011e-06
79261967;LD1;8.82374758292216e-07
79261983;LD1;7.87829965632739e-12
79261990;LD1;3.72952826907657e-05
79262011;LD1;4.27214971709693e-08
79262038;LD1;8.95729273692915e-05
79262040;LD1;1.82948978637745e-06
79262064;LD1;1.19863428480304e-05
79289604;LD1;4.37339070323135e-05
79319002;LD1;1.52645519668637e-06
79319023;LD1;2.07408442402849e-05
79319050;LD1;1.59789093554694e-06
79319064;LD1;1.15899093125978e-05
79319090;LD1;0.000159557336357602
79319174;LD1;2.99565026754666e-07
79319192;LD1;1.65063323263029e-06
79428875;LD1;4.09792525832859e-05
79428890;LD1;0.000111015223523838
79429118;LD1;5.41140944995301e-05
79589756;LD1;4.32483538726952e-05
79589758;LD1;8.15704300322611e-06
79589804;LD1;4.56546590596621e-06
79589860;LD1;3.7555235369585e-05
79589870;LD1;2.17936574750444e-05
79589878;LD1;0.000233243814002476
79620737;LD1;1.56069965201993e-07
79847411;LD1;9.65901808695043e-06
79847678;LD1;6.6244723930825e-06
79996513;LD1;0.000539888821898601
79996532;LD1;1.85775468357694e-07
79996714;LD1;4.7487056242891e-05
79996735;LD1;2.35994086204691e-06
80131275;LD1;0.000280252866912074
80131295;LD1;0.000330031791235818
80131377;LD1;1.2112910783863e-05
80131428;LD1;1.17342122136158e-05
80214033;LD1;4.23283348691237e-06
80214036;LD1;2.23136656034199e-06
80214099;LD1;2.34586101890226e-05
80214121;LD1;2.16248383284003e-05
80214163;LD1;9.2550455030191e-06
80214177;LD1;1.97858091716597e-06
80214181;LD1;8.56784283166112e-06
80814894;LD1;2.79441264380298e-06
80814906;LD1;9.40522910001475e-05
80814999;LD1;0.00100383987803647
80815066;LD1;1.54151298170318e-08
80848620;LD1;2.50343201389108e-06
80848661;LD1;0.000252489794257338
80848676;LD1;5.04295539111722e-06
80848680;LD1;1.100779467282e-05
80848701;LD1;9.74695744140235e-08
80999626;LD1;3.31346412321664e-05
80999667;LD1;3.43606438063047e-05
80999676;LD1;1.73305196282132e-05
80999706;LD1;1.13000405615274e-05
80999728;LD1;3.83918886689388e-05
80999829;LD1;0.000587256583176043
80999867;LD1;9.37490584962612e-06
81055576;LD1;1.21122522317945e-08
81055692;LD1;7.20065883596997e-07
81055699;LD1;4.95862436653661e-05
81055706;LD1;2.45044445066783e-06
81088684;LD1;9.17768258039786e-05
81088705;LD1;1.79736470128666e-05
81088726;LD1;0.000252578382156766
81088733;LD1;6.68416068405233e-06
81088748;LD1;6.34714421005818e-05
81088800;LD1;0.000107319723325907
81088821;LD1;2.19497646021928e-05
81088890;LD1;4.35214312979173e-05
81298310;LD1;7.47261364707106e-06
81536433;LD1;5.22928950833868e-06
81536435;LD1;4.8974252518976e-05
81536651;LD1;0.000217067814795826
81536683;LD1;8.396909844403e-05
81536691;LD1;0.000137048823604532
81626487;LD1;5.27455277759972e-08
81626503;LD1;2.23129206437591e-05
81626514;LD1;0.000106904655282513
81626524;LD1;2.37746231744276e-07
81626573;LD1;1.89727490432742e-06
81626599;LD1;0.000279276396612464
81626626;LD1;6.32020435333124e-06
81626638;LD1;5.34381782317516e-07
81626673;LD1;4.45162354685124e-06
81626699;LD1;6.91561333517428e-05
81626708;LD1;1.69347454074838e-07
81626734;LD1;1.44187769223179e-05
81626738;LD1;5.8826493707299e-07
81626751;LD1;5.49711157208914e-05
81734851;LD1;0.000100071297740421
81734868;LD1;3.15176522265877e-05
81734872;LD1;1.48498849813951e-05
81735060;LD1;8.61667442131227e-07
81907140;LD1;2.46629102782367e-05
81907158;LD1;1.90764778038704e-05
81907183;LD1;4.5417995381909e-06
81907187;LD1;1.64286871175978e-06
81907191;LD1;1.53507812394331e-05
81907229;LD1;0.000346385529423104
81907369;LD1;7.42976451468725e-05
82313355;LD1;6.73933729159233e-06
82313377;LD1;6.55162896106107e-05
82355215;LD1;1.61339914787571e-05
82355238;LD1;4.43225359685569e-05
82355267;LD1;1.47783953873222e-05
82355272;LD1;0.000131628199927281
82355276;LD1;2.78199963292472e-05
82355290;LD1;0.000192954966998078
82355371;LD1;3.55181404664761e-05
82355373;LD1;5.19816291587051e-05
82355425;LD1;2.76960426257781e-05
82355434;LD1;6.68085130852856e-06
82355475;LD1;1.2078416614367e-05
82385993;LD1;1.63905323278004e-07
82386009;LD1;1.22318586281754e-05
82386054;LD1;6.21142962708349e-06
82386079;LD1;1.0824715391877e-06
82386101;LD1;0.000343452785095464
82386105;LD1;1.05659228348642e-05
82386144;LD1;7.77249480259743e-06
82386162;LD1;1.48503925987041e-06
82661096;LD1;1.11408091342166e-05
82661116;LD1;4.19186488549265e-06
82661135;LD1;1.25263985420703e-06
82661185;LD1;1.27292402333902e-05
82661283;LD1;1.94644777820053e-06
82677138;LD1;1.17740058413506e-05
82677343;LD1;0.000120108270936658
82989386;LD1;1.23074967559563e-05
82989396;LD1;1.57333973860462e-06
82989406;LD1;4.10639260089161e-06
83288689;LD1;4.74818623976566e-05
83288700;LD1;1.14649136935745e-07
83593615;LD1;3.7542253050404e-06
83593638;LD1;0.00489612545104912
83593660;LD1;3.47002524672989e-05
83593672;LD1;1.4778671218099e-08
83593693;LD1;1.37428754836678e-06
83593743;LD1;3.78022113034504e-08
83608193;LD1;2.12940845175195e-05
83608222;LD1;2.06992737462965e-06
83608268;LD1;4.50271889982857e-12
83608278;LD1;1.53161673670016e-05
83608298;LD1;0.000213110573164534
83608356;LD1;2.07391861957724e-05
83608370;LD1;0.000112926337186632
83608383;LD1;5.15206318150186e-06
83743167;LD1;3.7455955111673e-06
83743226;LD1;4.24044964246916e-06
83743297;LD1;2.17066514532457e-06
83743357;LD1;7.78731214619146e-05
84062014;LD1;9.43911618285235e-06
84062065;LD1;0.00010723584530566
84062119;LD1;0.000232819603245614
84062149;LD1;2.30548166896718e-05
84062151;LD1;3.60197153520927e-05
84062170;LD1;2.09812416346132e-07
84062220;LD1;2.26545492040091e-06
84062232;LD1;7.03573157519533e-06
84062241;LD1;0.000376721394328938
84062267;LD1;5.25721067171595e-06
84427808;LD1;3.33072868891707e-05
84427818;LD1;0.000241994826868594
84427823;LD1;1.07823825334574e-09
84427860;LD1;2.01705243520988e-05
84427905;LD1;4.75666238583091e-06
84428035;LD1;6.0511359437893e-06
84615878;LD1;0.000237224874727712
84615912;LD1;4.28176480809092e-06
84615964;LD1;4.49478355747565e-09
84615975;LD1;7.7283199526972e-05
84616032;LD1;1.86616516120785e-05
84875358;LD1;2.4598741949229e-05
85307253;LD1;0.000122908479272765
85405785;LD1;5.1306223294323e-05
85405915;LD1;0.000971343466846605
85405935;LD1;2.84520889291969e-06
85405949;LD1;4.4453948982457e-06
85405973;LD1;0.000498731671392321
85405981;LD1;0.000422099865856884
85406006;LD1;1.62489527751407e-05
85406024;LD1;1.7444058600734e-05
86033290;LD1;2.66097807661127e-06
86071517;LD1;5.85382382221332e-05
86071592;LD1;1.34036519498524e-05
86071617;LD1;2.67485202081935e-06
86379383;LD1;0.000144824307083734
86387631;LD1;0.000257792818436815
86387674;LD1;6.04270176526188e-08
86387762;LD1;2.80168604181249e-05
86501356;LD1;1.69688432245555e-06
86501376;LD1;2.77228649867539e-06
86796740;LD1;1.09155745828263e-06
86796762;LD1;5.92301840530216e-07
86796764;LD1;1.00165404073572e-05
86796927;LD1;0.000148025600653859
86817157;LD1;1.10162905573937e-08
86817178;LD1;5.11424386176535e-06
87109983;LD1;3.06364290282883e-07
87110124;LD1;3.10258600801286e-05
87110129;LD1;8.39216399764992e-06
87314505;LD1;1.31312740797034e-05
87314523;LD1;1.00254489771583e-06
87314546;LD1;5.66485444032441e-05
87314580;LD1;3.27956131230197e-08
87314596;LD1;2.73401356411563e-07
87314664;LD1;0.0011204495997463
87314703;LD1;0.00013166419818285
87495882;LD1;3.04166814319557e-07
87495898;LD1;1.22463121715903e-05
87863189;LD1;2.61103967931484e-06
87863263;LD1;8.88502559713848e-06
87863311;LD1;1.07582860833272e-05
87863330;LD1;1.06078841147089e-07
88006349;LD1;0.000689386074807389
