CHH;LD;Loading
19871198;LD1;1.0937942182431e-07
19871204;LD1;4.45782677283158e-09
19871213;LD1;8.35225024988407e-09
19871214;LD1;4.75635272500746e-10
19871216;LD1;8.65626339934479e-09
19871218;LD1;3.2671065557793e-10
19871221;LD1;2.04101407326759e-09
19871227;LD1;1.76121663788014e-08
19871231;LD1;1.17402667131308e-08
19871242;LD1;2.19154502506989e-08
19871246;LD1;1.38493847555918e-09
19871247;LD1;1.44563101930476e-08
19871248;LD1;1.25550296718269e-10
19871257;LD1;9.02957652520386e-08
19871258;LD1;6.32695938973284e-09
19871263;LD1;1.24837939577602e-07
19871269;LD1;1.80747757551753e-10
21832787;LD1;0.00044003471354608
23453121;LD1;2.17425193003517e-11
23453130;LD1;8.31652187826094e-10
23453142;LD1;1.44198925571665e-10
23453145;LD1;7.86083873637905e-10
23453153;LD1;3.77398621433911e-08
23453155;LD1;6.56624282022127e-10
23453157;LD1;6.23711861238625e-09
23453158;LD1;9.09393722586796e-09
23453159;LD1;1.246106405404e-09
23453164;LD1;7.59836817491926e-09
23453166;LD1;7.32463120615919e-09
23453167;LD1;1.2290273876568e-09
23453168;LD1;4.41719459986173e-10
23453169;LD1;8.55535270320321e-09
23453172;LD1;7.40388788748674e-10
23453176;LD1;2.06121783856682e-08
23453177;LD1;1.63460991667311e-08
23453179;LD1;5.8505766101525e-08
23453180;LD1;5.49409818301659e-09
23453199;LD1;5.49602810967183e-10
23453203;LD1;1.61375371232939e-08
23453204;LD1;8.52547421728054e-09
23453205;LD1;1.75456046692356e-08
23453206;LD1;3.01623157350387e-09
23453211;LD1;7.21434517427485e-11
23453215;LD1;8.45331364084294e-10
23453226;LD1;2.3948225826725e-09
23453228;LD1;6.07036073435191e-10
23453229;LD1;1.16600814465771e-09
23453233;LD1;1.48008857657627e-09
23453241;LD1;4.18401049263147e-09
23453242;LD1;2.26694750851493e-10
23453258;LD1;7.60380206585848e-09
23453259;LD1;2.04773439336126e-08
23453261;LD1;4.33118392977304e-08
23453266;LD1;5.61731940300404e-07
23453273;LD1;1.22693996089012e-08
23453274;LD1;4.09138698936591e-09
23453275;LD1;7.23718769389124e-09
23453278;LD1;4.17505329555676e-08
23453282;LD1;4.19460865109219e-08
23453286;LD1;9.40187098610208e-09
23453287;LD1;7.82940322869186e-09
23453289;LD1;1.14953156691133e-08
23453290;LD1;4.09723259417944e-09
23453291;LD1;3.8154554398987e-08
23453293;LD1;1.58357944324883e-12
23453300;LD1;7.55921478142070e-09
23453301;LD1;2.2054735414022e-09
23453302;LD1;1.51750284431948e-09
23453304;LD1;8.1367007323671e-08
23453309;LD1;1.4323436865822e-09
23453310;LD1;2.5606950801459e-09
23453325;LD1;2.19369435772047e-08
23453326;LD1;7.04188664046319e-10
23453327;LD1;1.58313074496127e-12
23453328;LD1;8.66474229481834e-10
23453331;LD1;3.31531700410441e-08
23453332;LD1;2.93312159450882e-09
23453333;LD1;7.37537036734364e-11
23453335;LD1;2.14304259052768e-08
23453337;LD1;2.02221248829958e-08
23453341;LD1;1.02787282436156e-07
23453342;LD1;1.3618935579696e-08
23453349;LD1;6.70112523127465e-11
23453351;LD1;2.47687628654298e-09
23453352;LD1;9.88247780382786e-10
23453353;LD1;1.70082239905505e-09
23453354;LD1;4.34909621331011e-10
23453355;LD1;6.69834987790311e-12
23453360;LD1;2.2978442345362e-08
23453361;LD1;1.7561563809475e-08
23453362;LD1;1.37879655563013e-10
23453363;LD1;1.17254449838741e-09
23453365;LD1;5.63684351284989e-09
23453367;LD1;2.30862874863994e-09
23453374;LD1;4.42179464977653e-11
23453382;LD1;2.87374890371824e-08
23453387;LD1;6.05048458009448e-08
23777718;LD1;0.000153356322386224
23777722;LD1;0.000117157007387819
23777723;LD1;0.000143041603053736
23777728;LD1;0.000121434597062177
23777730;LD1;0.000120409742473171
23777746;LD1;0.000103241481149712
23777747;LD1;0.000118174162906503
23777749;LD1;0.000125873829272782
23777752;LD1;0.000155687480213281
23777763;LD1;0.000110439928056299
23777764;LD1;0.00010625291557352
23777768;LD1;0.000159360020670882
23777770;LD1;0.000124547721629347
23777778;LD1;0.000170278709035741
23777779;LD1;0.000159126176311915
23777785;LD1;0.000135368236375433
23777793;LD1;0.000143132375980402
23777802;LD1;0.00011205568421976
23777803;LD1;0.000128637822793603
23777809;LD1;0.00011087662287924
23777821;LD1;0.000105562212709227
23777827;LD1;0.000128393218922419
23777829;LD1;0.000115437517035204
23777830;LD1;0.000120148364939569
23777833;LD1;0.000108789769366777
23777836;LD1;0.000126004021550476
23777837;LD1;0.000102457350824796
23777838;LD1;0.000105728980648036
23777840;LD1;0.000128296528688595
23777841;LD1;0.000109577795481859
23777842;LD1;0.000164731515093213
23777852;LD1;0.000117146850731339
23777854;LD1;0.000125013524131381
23777870;LD1;0.000115251243679733
23777871;LD1;0.000128353274750238
23777873;LD1;0.000127291057329788
23777876;LD1;0.000159720380634832
23777887;LD1;0.000114977781112497
23777888;LD1;0.000112983656944777
23777892;LD1;0.000175665320416624
23777894;LD1;0.00013632523109786
23777902;LD1;0.00018141741805353
23777903;LD1;0.000162598846119716
23777909;LD1;0.000144045105059666
23777917;LD1;0.000152821448433933
23777926;LD1;0.000119815686938014
23777927;LD1;0.000134192420120728
23777933;LD1;0.000119959435939894
23777945;LD1;0.000112681732007269
23777951;LD1;0.000128486007427061
23777953;LD1;0.000123668550923487
23777954;LD1;0.000121567408957576
23777957;LD1;0.000112972197624918
23777960;LD1;0.000132199888044378
23777961;LD1;0.000114690473918857
23777962;LD1;0.00011543810884757
23777964;LD1;0.000125023150818394
23777965;LD1;0.0001065127446964
23777966;LD1;0.000151555980883432
23777967;LD1;0.000114422264572756
23777986;LD1;0.00014394548447207
24544955;LD1;5.96226007841993e-05
24544962;LD1;0.00137385575698629
24544963;LD1;0.00144148994505615
24544964;LD1;0.00140222280419563
24544965;LD1;0.00140905138952762
24544968;LD1;5.78254803993437e-05
24544969;LD1;0.000435240062922693
24544970;LD1;0.00139803455774563
24544971;LD1;0.00147456779071141
24544972;LD1;0.0015490000880754
24544977;LD1;6.01826809770778e-05
24544979;LD1;5.88700997638251e-05
24544980;LD1;5.9314308443666e-05
24544981;LD1;5.69385580345879e-05
24544982;LD1;5.53974401138844e-05
24544984;LD1;0.000385756876749337
24544987;LD1;5.5290779603347e-05
24544988;LD1;5.37522618038572e-05
24544989;LD1;5.42111411918945e-05
24544990;LD1;5.63490407387363e-05
24544991;LD1;5.51579907879872e-05
24545000;LD1;6.61609710621827e-05
24545001;LD1;6.21213291472478e-05
24545005;LD1;6.70697495970958e-05
24545007;LD1;6.69637301847207e-05
24545009;LD1;6.96358474156463e-05
24545010;LD1;6.29463296425481e-05
24545011;LD1;6.30344448875213e-05
24545014;LD1;6.28562465702356e-05
24545015;LD1;6.3477267270844e-05
24545016;LD1;6.21209542418568e-05
24545017;LD1;5.7083529640889e-05
24545021;LD1;0.000102993908154471
24545023;LD1;0.00105534845193524
24545025;LD1;0.000996593652575848
24545026;LD1;0.00097172847728285
24545027;LD1;0.00101211244466973
24545032;LD1;7.07078343340604e-05
24545033;LD1;6.3877375947889e-05
24545034;LD1;0.00016855324023633
24545038;LD1;6.38718639979804e-05
24545042;LD1;6.05365824775727e-05
24545043;LD1;0.000183835477989271
24545044;LD1;0.000301477002366137
24545045;LD1;0.000340092974647223
24545046;LD1;0.000591044496491192
24545051;LD1;6.90518222456045e-05
24545052;LD1;6.73716771452593e-05
24545053;LD1;6.38604076328831e-05
24545055;LD1;7.33740833198287e-05
24545056;LD1;6.51286945409978e-05
24545057;LD1;0.000129839505902179
24545061;LD1;0.000222376601498351
24545069;LD1;6.69410385002484e-05
24545070;LD1;6.22300604722804e-05
24545076;LD1;6.53213132253727e-05
24545077;LD1;0.000944304466058661
24545089;LD1;6.15185563235778e-05
24545090;LD1;6.01134482127529e-05
24545093;LD1;0.000551735388540169
24545096;LD1;0.00037519053630145
24545097;LD1;0.00130573253683374
24545100;LD1;5.61662314911645e-05
24545101;LD1;5.93536444109671e-05
24545102;LD1;0.00235298489526644
24545104;LD1;0.000402253231493048
24545109;LD1;5.82527653210211e-05
24545110;LD1;0.000456249008719351
24545113;LD1;5.9497404706162e-05
24545114;LD1;5.76406224276155e-05
24545119;LD1;4.5554614691146e-05
24545121;LD1;0.00107002574254537
24545122;LD1;0.000237469348317569
24545124;LD1;0.000994599207401456
24545138;LD1;6.22866767582985e-05
24545139;LD1;5.91190172510162e-05
24545143;LD1;6.25842493025102e-05
24545147;LD1;0.00125668293565962
24545148;LD1;1.64687044051132e-05
24545152;LD1;0.00027021354127527
24545153;LD1;0.000667425798448754
24545155;LD1;0.00103010827700862
24545157;LD1;0.000843787835306277
24545158;LD1;0.000140277992345859
24545163;LD1;5.94902939335902e-05
24545165;LD1;6.1773900119774e-05
24545166;LD1;6.20798885601751e-05
24545170;LD1;6.3743949610856e-05
24545173;LD1;6.21015023472124e-05
24545174;LD1;6.3033508917526e-05
24545175;LD1;6.14176261862369e-05
24545176;LD1;6.22878452358522e-05
24545185;LD1;5.45229698702185e-05
24545187;LD1;6.2528721514389e-05
24545189;LD1;6.48728144828317e-05
24545192;LD1;0.00166470506248196
24545193;LD1;0.00132411119741465
24545197;LD1;5.93528221085711e-05
24545200;LD1;6.65637064167319e-05
24545203;LD1;0.00079042363076628
24545204;LD1;0.00157192990319081
24545207;LD1;0.000191702989775742
24545216;LD1;0.000523667834083412
24545218;LD1;0.000222077357413394
24545223;LD1;6.33852220509741e-05
24767037;LD1;8.02880631551775e-05
24767038;LD1;1.76448185837292e-05
24767043;LD1;5.09788071028028e-05
24767047;LD1;0.000154830506405414
24767052;LD1;2.75435192022365e-08
24767053;LD1;1.58998695072973e-07
24767057;LD1;1.75682228986914e-05
24767059;LD1;1.94443421620311e-06
24767088;LD1;6.7807986623365e-05
24767090;LD1;2.28095642308458e-05
24767097;LD1;3.09003124830658e-06
24767103;LD1;8.23475782682234e-07
24767104;LD1;1.38621952033189e-05
24767113;LD1;2.45644613603486e-05
24767118;LD1;1.40224414026601e-05
24767143;LD1;0.000106579902724677
24767148;LD1;2.62248807837847e-06
24767158;LD1;2.2614291827322e-06
24767160;LD1;1.87651491409838e-05
24767177;LD1;7.75567126791561e-08
24767182;LD1;2.51203414634248e-05
24767207;LD1;0.000141766188016471
24767222;LD1;1.38306340501185e-06
24767224;LD1;2.03069474702798e-05
24767249;LD1;4.03902345637877e-05
24767273;LD1;1.66126837641273e-05
24767294;LD1;8.80450613670709e-05
24767296;LD1;6.50301907469283e-05
24767297;LD1;3.51053064111611e-05
24767300;LD1;1.44609963928146e-05
24767306;LD1;6.57955106876311e-05
27184714;LD1;1.44480394868774e-09
27184721;LD1;8.16305111584688e-08
27184726;LD1;0.000177412601105989
27184848;LD1;2.9002425815332e-05
27184849;LD1;6.91992022507054e-05
27184856;LD1;7.50261846609093e-06
27184857;LD1;0.000459540405045215
27645858;LD1;0.000112087711175906
27645862;LD1;8.97173138129464e-05
27645863;LD1;9.43935480434764e-05
27645865;LD1;4.79803451295397e-07
27645866;LD1;8.53989010061285e-06
27645874;LD1;1.14736721990248e-05
27645875;LD1;2.43728714335669e-06
27645876;LD1;7.13280427643897e-09
27645880;LD1;4.59022900693737e-06
27645881;LD1;3.79674076925029e-06
27645886;LD1;9.97105273025207e-06
27645887;LD1;1.43418467749425e-05
27645888;LD1;1.0958864453761e-09
27645889;LD1;2.43720704953691e-09
27645894;LD1;7.26917444178395e-05
27645897;LD1;1.51967107270131e-07
27645898;LD1;1.79957181844107e-06
27645899;LD1;3.45313639048374e-09
27645900;LD1;5.3489251278951e-05
27645901;LD1;0.00118580974754865
27645904;LD1;1.84994171062678e-05
27645905;LD1;9.75935175373668e-06
27645907;LD1;2.42089660469775e-06
27645908;LD1;4.96662435189377e-05
27645912;LD1;7.14958853520975e-06
27645913;LD1;1.08923915171637e-05
27645915;LD1;7.44675370198814e-05
27645918;LD1;1.66979969630793e-06
27645919;LD1;6.17917280934334e-06
27645926;LD1;7.1183251420249e-06
27645927;LD1;1.85044046087862e-06
27645930;LD1;0.000282969315274922
27645931;LD1;8.16603864431505e-07
27645932;LD1;5.1393509553217e-07
27645934;LD1;2.60714441919945e-05
27645937;LD1;4.68933876189776e-05
27645938;LD1;2.47009296418846e-05
27645940;LD1;9.85010790764375e-08
27645941;LD1;4.95720622442387e-09
27645942;LD1;0.00103204348021809
27645945;LD1;9.84723778883225e-05
27645947;LD1;4.47825982367996e-05
27645949;LD1;2.79210164789292e-06
27645950;LD1;1.46790702442358e-06
27645951;LD1;4.96415102963178e-05
27645953;LD1;0.00095786405729309
27645955;LD1;0.000104425737365451
27645957;LD1;0.000123398863449317
27645960;LD1;1.61863062356627e-05
27645961;LD1;4.60123521628344e-05
27645963;LD1;0.000240092404218134
27645964;LD1;0.000305384634823027
27645969;LD1;8.85810366516871e-06
27645973;LD1;3.56797081338788e-05
27645975;LD1;2.78338219474421e-06
27645976;LD1;9.13125940001982e-06
27645978;LD1;0.000138277938306783
27645979;LD1;1.22817820162935e-06
27645981;LD1;6.03028399859307e-06
27645990;LD1;4.7474873951812e-06
27646005;LD1;1.31483333455223e-05
27646007;LD1;4.51583891540134e-07
27646008;LD1;2.18898883088671e-10
27646009;LD1;6.71182934947545e-05
27646012;LD1;9.08079962232248e-05
27646014;LD1;2.50280992004592e-06
27646015;LD1;1.62107878477113e-06
27646017;LD1;2.35860545888696e-06
27646018;LD1;3.7740152497283e-06
27646021;LD1;1.59814676895142e-05
27646023;LD1;2.23379580552455e-05
27646026;LD1;5.24633069531188e-06
27646030;LD1;6.04257520464857e-06
27646033;LD1;0.000104973742176228
27646035;LD1;1.3945994536079e-05
27646038;LD1;8.38963473757825e-06
27646039;LD1;0.000404390040609085
27646043;LD1;4.62263604494574e-05
27646045;LD1;7.15044464222703e-07
27646046;LD1;9.17165913566596e-07
27646057;LD1;1.31926879326886e-06
27646063;LD1;2.09717955660448e-06
27646064;LD1;1.25749809543333e-05
27646067;LD1;0.000180672007049199
27646068;LD1;3.34586826204768e-08
27646069;LD1;6.07049377311017e-06
27646070;LD1;4.7274889499425e-06
27646071;LD1;5.2266444888904e-06
27646077;LD1;8.38340337835969e-07
27646078;LD1;3.7717279020985e-06
27646080;LD1;4.0416389427244e-07
27646081;LD1;9.89741807046908e-07
27646083;LD1;0.000201655743595714
27646087;LD1;2.59195206398576e-06
27646088;LD1;3.70422115070089e-06
27646093;LD1;3.34936643468803e-06
27646096;LD1;2.97870891144583e-07
27646097;LD1;0.000130097622463674
27646100;LD1;7.65531894692502e-05
27646102;LD1;8.85204054834407e-05
27646104;LD1;0.000302286621806405
27646105;LD1;2.30496879827315e-05
27646110;LD1;8.6402006353659e-06
27646111;LD1;0.00031007238559914
27646117;LD1;1.72968447488053e-05
27646119;LD1;0.00107271646674914
27646122;LD1;2.31585903054677e-09
27646123;LD1;7.39640358027125e-05
28245005;LD1;4.70846749970222e-05
28245020;LD1;2.27843507698776e-06
28245022;LD1;0.000151454617072303
28245045;LD1;1.09266415279885e-05
28245101;LD1;6.82106773850963e-07
28245161;LD1;5.89214588839493e-05
28245164;LD1;1.68539412574258e-05
34879706;LD1;1.89210522391939e-05
34879923;LD1;7.08834220109503e-05
46196704;LD1;1.33464017186577e-10
46196710;LD1;1.56963288152486e-08
46196727;LD1;7.61554700258637e-08
46196739;LD1;1.38335946698229e-08
46196743;LD1;1.87362838843273e-08
46196746;LD1;6.03496533768725e-10
46196773;LD1;4.00545764796541e-09
46196776;LD1;4.68671583758365e-09
46196787;LD1;8.90963892481618e-10
46196788;LD1;4.3063997597389e-09
46196799;LD1;1.85587546386735e-08
46196800;LD1;7.06558848044376e-09
46196809;LD1;1.96309203863001e-08
46196810;LD1;1.34586520957841e-08
46196811;LD1;1.06617755347629e-09
46196812;LD1;8.94216113258874e-09
46196822;LD1;5.94858213917327e-08
46196844;LD1;1.06753653316233e-11
46196865;LD1;1.52907451028526e-08
46196866;LD1;1.31519636882071e-08
46196867;LD1;3.24893703530622e-10
46196874;LD1;6.75411060743252e-10
46196878;LD1;4.67430613587556e-10
46196883;LD1;1.31025053200762e-08
46196887;LD1;1.22138866216283e-07
46196890;LD1;1.26950343805447e-09
46196898;LD1;2.97773685647792e-08
46196900;LD1;3.02601888609305e-08
46196904;LD1;4.74208354287372e-11
46196912;LD1;5.60419667545155e-09
46196913;LD1;4.5594148053444e-09
46196916;LD1;4.27456241118215e-08
46196917;LD1;1.11363476512885e-08
46196921;LD1;1.51225087908439e-08
46196922;LD1;7.24074061681084e-08
46196924;LD1;1.47150772386684e-08
46196931;LD1;3.52584661295535e-08
46196939;LD1;2.81002424632647e-08
46196940;LD1;2.8817927228697e-08
46196941;LD1;7.50339967777428e-09
46196948;LD1;2.63803688179299e-13
46196950;LD1;3.9422738013751e-08
46196953;LD1;7.70081624989508e-11
46196963;LD1;1.58420617864357e-09
46196973;LD1;4.75999679936833e-08
47142723;LD1;5.43250964354016e-08
47142726;LD1;3.38014810629124e-08
47142727;LD1;7.56771843713254e-09
47142730;LD1;9.64072155103912e-08
47142731;LD1;1.77088002896817e-08
47142739;LD1;1.64931934052479e-07
47142745;LD1;2.66466725578716e-08
47142747;LD1;4.22915820365234e-10
47142757;LD1;2.12270095892922e-11
47142759;LD1;4.64972195977152e-08
47142764;LD1;4.30884978709374e-08
47142765;LD1;8.06752030865971e-10
47142766;LD1;3.44905167802867e-08
47142776;LD1;1.16492276554163e-07
47142778;LD1;1.52442341656046e-08
47142784;LD1;2.87310887654579e-10
47142795;LD1;3.70632219680714e-08
47142808;LD1;5.33216608620636e-09
47142819;LD1;3.92098018398167e-09
47142821;LD1;1.57890610039692e-07
47142823;LD1;6.40799827539309e-07
47142834;LD1;1.06437887134074e-07
47142841;LD1;3.92383782340271e-09
47142855;LD1;1.95692382205613e-09
47142861;LD1;7.63819553343997e-08
47142864;LD1;5.53105516225225e-07
47142865;LD1;1.24746692280648e-08
47142876;LD1;3.8819403586948e-08
47142877;LD1;1.00980827456483e-08
47142886;LD1;4.56535548298554e-08
47142893;LD1;1.57734336934717e-08
47142901;LD1;1.32127274403066e-07
47142902;LD1;3.16447698999086e-08
47142907;LD1;8.16346110474903e-08
47142909;LD1;3.13873639401264e-08
47142912;LD1;2.13098652547931e-08
47142918;LD1;3.45811123572833e-08
47142921;LD1;3.40748734653704e-10
47142928;LD1;9.12146046979183e-08
47142933;LD1;1.47792634288637e-08
47142935;LD1;2.88679771339049e-08
47142941;LD1;3.68673466811747e-08
47142949;LD1;2.98450610038453e-08
47142950;LD1;1.28367129625624e-08
47142955;LD1;1.50376637231727e-08
47142961;LD1;9.91330394501137e-09
47142966;LD1;4.44597549743605e-09
47142974;LD1;3.71987659468051e-09
47142975;LD1;5.30585044953496e-09
47142982;LD1;2.2042675445586e-08
47142987;LD1;9.41277176546117e-09
47768190;LD1;1.47553826990567e-09
47768193;LD1;3.0296930621166e-09
47768194;LD1;1.75350855414684e-10
47768201;LD1;5.77052405000858e-10
47768206;LD1;1.94106142213315e-09
47768214;LD1;1.83861631253207e-08
47768228;LD1;1.7552426594261e-09
47768232;LD1;1.03844313130779e-10
47768233;LD1;1.14261269375674e-08
47768238;LD1;1.18655149172712e-08
47768241;LD1;6.89012867795617e-10
47768245;LD1;1.18272239769612e-08
47768253;LD1;3.59251141089298e-09
47768259;LD1;6.10478139342833e-09
47768277;LD1;6.3714726254905e-10
47768278;LD1;8.84334328982693e-09
47768286;LD1;2.59888102871617e-08
47768290;LD1;2.84788782291702e-08
47768296;LD1;1.28715642188606e-08
47768304;LD1;2.09106461073695e-08
47768312;LD1;1.11594761897848e-07
47768313;LD1;1.74999057570564e-09
47768335;LD1;9.93000493563964e-09
47768340;LD1;8.96714832264162e-10
47768341;LD1;5.25371111924103e-09
47768345;LD1;1.86393150047058e-08
47768358;LD1;9.8226134941488e-10
47768359;LD1;1.80046499731593e-10
47768360;LD1;6.08189416114128e-09
47768368;LD1;2.87796307404716e-09
47768385;LD1;1.50238219377854e-09
47768392;LD1;3.47543519919236e-08
47768397;LD1;4.63979990996154e-09
47768401;LD1;3.32100319944634e-09
47768414;LD1;1.89714999913541e-07
47768417;LD1;1.02216229134646e-11
47768418;LD1;1.09761746767068e-09
47768420;LD1;2.88178828256624e-11
47768421;LD1;1.20817990297359e-09
47768433;LD1;1.60453800060386e-08
47768434;LD1;4.61646053620514e-11
47768438;LD1;3.93748651598486e-11
47768445;LD1;7.20660873445904e-10
47768447;LD1;2.07516134976804e-08
56903968;LD1;3.78681884919531e-08
56904058;LD1;0.000511185287970208
56904103;LD1;0.000186477454605068
56904150;LD1;6.62423111616039e-05
57016983;LD1;1.72761742650758e-07
57016986;LD1;1.29281641836177e-06
57017049;LD1;6.18337882083803e-06
57017138;LD1;2.55776122974576e-05
57017139;LD1;7.93821169474378e-07
57212344;LD1;9.85490968914891e-06
57212420;LD1;3.74828761973205e-08
57212424;LD1;1.20104706338432e-05
57212425;LD1;7.01316045772095e-05
57212437;LD1;0.000319050381735923
57212467;LD1;2.19417270342409e-05
57212576;LD1;0.000124275355404495
57519312;LD1;4.62868286270153e-05
57519471;LD1;0.000149330401840747
57519491;LD1;9.13718263698256e-05
57519507;LD1;2.19289209835828e-07
57519524;LD1;1.34228096778039e-06
57519549;LD1;9.48245322179889e-05
57520939;LD1;0.00014228735476961
57520951;LD1;3.75398222762437e-05
57521126;LD1;7.70261451396924e-05
57521196;LD1;0.000166053681788619
57521197;LD1;8.92879268117091e-05
57521206;LD1;1.79059644644403e-05
58150169;LD1;3.07386608883309e-05
58213540;LD1;1.6732112392686e-09
58213541;LD1;5.74401188024133e-09
58213543;LD1;0
58213547;LD1;3.76616495770334e-08
58213548;LD1;1.26439518481455e-08
58213560;LD1;0
58213573;LD1;0
58213581;LD1;0
58213589;LD1;0
58213598;LD1;3.61675954771506e-08
58213604;LD1;0
58213608;LD1;0
58213615;LD1;0
58213621;LD1;2.71028216830872e-08
58213625;LD1;4.59522253871497e-09
58213633;LD1;4.00582974248798e-09
58213644;LD1;7.71148728232896e-08
58213647;LD1;6.64173287434923e-06
58213659;LD1;0.000560686619456342
58213662;LD1;2.67828368902043e-05
58213663;LD1;2.67665704221817e-05
58213665;LD1;9.03819873429536e-07
58213677;LD1;3.33723476414907e-08
58213686;LD1;1.44575770319989e-08
58213687;LD1;1.22290644598488e-08
58213689;LD1;1.04620320407133e-06
58213692;LD1;1.53256700804696e-07
58213693;LD1;5.78611325152707e-08
58213695;LD1;3.54238710712747e-08
58213698;LD1;0
58213699;LD1;2.84984992558757e-07
58213701;LD1;8.07903775446617e-06
58213705;LD1;4.28505879632028e-08
58213706;LD1;4.34998292771344e-08
58213707;LD1;4.78374260315924e-11
58213711;LD1;3.18558855830955e-09
58213712;LD1;1.15659709573322e-07
58213713;LD1;0
58213721;LD1;0
58213727;LD1;3.53031193006411e-08
58213738;LD1;8.47376463164479e-09
58213743;LD1;2.99853178958878e-10
58213746;LD1;0
58213756;LD1;1.34698284370386e-08
58213760;LD1;0
58213766;LD1;0
58213767;LD1;0
58213771;LD1;0
58213772;LD1;0
58213777;LD1;3.0909255543404e-09
58213778;LD1;1.43387023189291e-07
58213781;LD1;0
58213782;LD1;7.36356089861156e-10
58213783;LD1;0
58213788;LD1;0
58213789;LD1;0
58213791;LD1;2.38811231436398e-06
58213792;LD1;0
58213793;LD1;0
58213805;LD1;2.45803193327007e-06
58323806;LD1;0.00034207987844307
58323821;LD1;0.001045216466587
58323828;LD1;1.09482473723484e-05
58323855;LD1;1.12481128672772e-05
58323898;LD1;0.000102318814141282
58323937;LD1;0.000396252106520082
58896301;LD1;5.77975690217146e-05
58896334;LD1;1.00556125630873e-05
58917437;LD1;6.9256343748943e-09
58933370;LD1;4.1556552516309e-08
58933373;LD1;5.93949503127201e-07
58933378;LD1;2.25075052257077e-09
58933387;LD1;1.62741846924349e-05
58933391;LD1;1.31441950563989e-05
58933392;LD1;3.66819719000181e-06
58933401;LD1;6.13984883408588e-08
58933402;LD1;8.81821070623965e-08
58933412;LD1;6.44177081027861e-06
58933415;LD1;4.79229364110794e-07
58933418;LD1;2.75227277348552e-08
58933423;LD1;3.98944849920475e-06
58933434;LD1;2.88749878696688e-06
58933435;LD1;2.71678659961613e-06
58933448;LD1;4.89682180493818e-07
58933452;LD1;5.88756827503517e-06
58933455;LD1;7.18927479352738e-09
58933456;LD1;4.98016750839891e-09
58933465;LD1;8.03432539671701e-07
58933478;LD1;2.06105839576796e-08
58933482;LD1;1.25051734413126e-06
